Section,Sub Section,Index Name,Column Name,Currency,Unit,Source URL,Active,Discovered At,Review Status
,,Aluminum Premium In-whs Shanghai SMM-AL-AL-009 USD/tonne -3 24/04/2026,Aluminum Premium In-whs Shanghai SMM-AL-AL-009 USD/tonne -3 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium In-whs Shanghai SMM-AL-AL-009,Aluminum Premium In-whs Shanghai SMM-AL-AL-009 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium In-whs Shanghai,Aluminum Premium In-whs Shanghai (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium in-whs dp Rotterdam SMM-AL-AL-015 USD/tonne -15 24/04/2026,Aluminum P1020A Premium in-whs dp Rotterdam SMM-AL-AL-015 USD/tonne -15 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium in-whs dp Rotterdam SMM-AL-AL-015,Aluminum P1020A Premium in-whs dp Rotterdam SMM-AL-AL-015 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium in-whs dp Rotterdam,Aluminum P1020A Premium in-whs dp Rotterdam (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium in-whs dup Rotterdam SMM-AL-AL-016 USD/tonne +2.5 24/04/2026,Aluminum P1020A Premium in-whs dup Rotterdam SMM-AL-AL-016 USD/tonne +2.5 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium in-whs dup Rotterdam SMM-AL-AL-016,Aluminum P1020A Premium in-whs dup Rotterdam SMM-AL-AL-016 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium in-whs dup Rotterdam,Aluminum P1020A Premium in-whs dup Rotterdam (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Quarterly Premium CIF Japan SMM-AL-AL-017 USD/tonne +156.5 26/03/2026,Aluminum Quarterly Premium CIF Japan SMM-AL-AL-017 USD/tonne +156.5 26/03/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Quarterly Premium CIF Japan SMM-AL-AL-017,Aluminum Quarterly Premium CIF Japan SMM-AL-AL-017 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Quarterly Premium CIF Japan,Aluminum Quarterly Premium CIF Japan (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Spot Premium CIF Japan SMM-AL-AL-018 USD/tonne -10 24/04/2026,Aluminum Spot Premium CIF Japan SMM-AL-AL-018 USD/tonne -10 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Spot Premium CIF Japan SMM-AL-AL-018,Aluminum Spot Premium CIF Japan SMM-AL-AL-018 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Spot Premium CIF Japan,Aluminum Spot Premium CIF Japan (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,"Aluminium P1020A premium, DDP Midwest US SMM-AL-AL-029 US cent/lb -0.13 24/04/2026","Aluminium P1020A premium, DDP Midwest US SMM-AL-AL-029 US cent/lb -0.13 24/04/2026 (USD/t)",USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,"Aluminium P1020A premium, DDP Midwest US SMM-AL-AL-029","Aluminium P1020A premium, DDP Midwest US SMM-AL-AL-029 (USD/t)",USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,"Aluminium P1020A premium, DDP Midwest US","Aluminium P1020A premium, DDP Midwest US (USD/t)",USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium CIF South Korea SMM-AL-AL-011 USD/tonne -13 24/04/2026,Aluminum Premium CIF South Korea SMM-AL-AL-011 USD/tonne -13 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium CIF South Korea SMM-AL-AL-011,Aluminum Premium CIF South Korea SMM-AL-AL-011 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium CIF South Korea,Aluminum Premium CIF South Korea (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium FCA South Korea SMM-AL-AL-010 USD/tonne -13 24/04/2026,Aluminum Premium FCA South Korea SMM-AL-AL-010 USD/tonne -13 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium FCA South Korea SMM-AL-AL-010,Aluminum Premium FCA South Korea SMM-AL-AL-010 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium FCA South Korea,Aluminum Premium FCA South Korea (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium FOB Indonesia SMM-AL-AL-007 USD/tonne -2 24/04/2026,Aluminum P1020A Premium FOB Indonesia SMM-AL-AL-007 USD/tonne -2 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium FOB Indonesia SMM-AL-AL-007,Aluminum P1020A Premium FOB Indonesia SMM-AL-AL-007 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P1020A Premium FOB Indonesia,Aluminum P1020A Premium FOB Indonesia (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P0610A Premium FOB Indonesia SMM-AL-AL-021 USD/tonne -2 24/04/2026,Aluminum P0610A Premium FOB Indonesia SMM-AL-AL-021 USD/tonne -2 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P0610A Premium FOB Indonesia SMM-AL-AL-021,Aluminum P0610A Premium FOB Indonesia SMM-AL-AL-021 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum P0610A Premium FOB Indonesia,Aluminum P0610A Premium FOB Indonesia (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
